row_index,included_runs,consistency_rate
356,90,1.0
357,82,1.0
358,78,1.0
359,88,1.0
360,85,1.0
361,84,1.0
362,77,0.8701298701298701
363,87,1.0
364,82,0.9390243902439024
365,81,1.0
366,82,0.8780487804878049
367,89,1.0
368,84,1.0
369,90,1.0
370,89,1.0
371,88,1.0
372,82,1.0
373,87,1.0
374,91,1.0
375,70,1.0
376,92,1.0
377,88,1.0
378,84,0.9166666666666666
379,88,1.0
380,83,0.7951807228915663
381,88,1.0
382,91,1.0
383,83,1.0
384,87,0.9310344827586207
385,83,1.0
386,79,0.810126582278481
387,84,1.0
388,82,1.0
389,87,1.0
390,82,1.0
391,84,1.0
392,89,1.0
393,83,1.0
394,88,0.625
395,90,1.0
396,74,1.0
397,82,1.0
398,78,1.0
399,89,1.0
400,81,1.0
401,74,1.0
402,79,0.9240506329113924
403,86,1.0
404,86,1.0
405,92,0.9347826086956522
406,86,1.0
407,93,1.0
408,86,1.0
409,87,1.0
410,89,0.898876404494382
411,86,0.9883720930232558
412,81,0.7777777777777778
413,80,1.0
414,83,0.963855421686747
415,82,1.0
416,88,0.8977272727272727
417,83,1.0
418,91,1.0
419,79,1.0
420,93,1.0
421,81,1.0
422,71,1.0
423,88,1.0
424,86,1.0
425,80,1.0
426,84,1.0
427,77,1.0
428,87,1.0
429,88,1.0
430,76,1.0
431,75,1.0
432,83,1.0
433,83,1.0
434,89,1.0
435,80,1.0
436,81,1.0
437,78,1.0
438,87,0.9310344827586207
439,83,1.0
440,80,1.0
441,84,1.0
442,82,0.8048780487804879
443,81,1.0
444,78,1.0
445,78,0.9102564102564102
446,83,1.0
447,77,1.0
448,90,1.0
449,87,1.0
450,87,1.0
451,89,1.0
452,84,0.9047619047619048
453,85,1.0
454,89,0.9325842696629213
455,85,1.0
456,82,1.0
457,73,1.0
458,87,1.0
459,87,1.0
460,91,1.0
461,87,1.0
462,79,0.9367088607594937
463,92,1.0
464,82,1.0
465,83,0.9397590361445783
466,87,1.0
467,85,1.0
468,88,0.9772727272727273
469,87,0.9310344827586207
470,81,0.9382716049382716
471,83,1.0
472,82,0.926829268292683
473,82,1.0
474,92,1.0
475,89,0.9101123595505618
476,79,1.0
477,78,0.7948717948717948
478,78,0.9102564102564102
479,87,0.5632183908045977
480,91,1.0
481,87,1.0
482,81,1.0
483,90,1.0
484,87,1.0
485,85,1.0
486,82,1.0
487,81,1.0
488,85,1.0
489,84,0.8095238095238095
490,85,0.9176470588235294
491,84,1.0
492,80,1.0
493,87,0.9310344827586207
494,80,1.0
495,88,1.0
496,88,1.0
497,81,1.0
498,82,1.0
499,88,0.9431818181818182
500,86,1.0
501,85,1.0
502,84,1.0
503,92,1.0
504,77,1.0
505,86,1.0
506,81,1.0
507,87,1.0
508,80,0.8
509,74,1.0
510,92,1.0
511,75,1.0
512,82,1.0
513,77,1.0
514,91,1.0
515,84,1.0
516,85,1.0
517,81,1.0
518,91,1.0
519,75,1.0
520,86,1.0
521,77,1.0
522,89,1.0
523,83,1.0
524,79,1.0
525,92,1.0
526,95,0.9789473684210527
527,89,1.0
528,80,1.0
529,85,0.7764705882352941
530,82,1.0
531,90,1.0
532,82,0.7804878048780488
533,84,1.0
534,83,1.0
535,87,1.0
536,90,1.0
537,76,0.8947368421052632
538,95,1.0
539,80,1.0
540,84,1.0
541,82,1.0
542,82,0.8170731707317073
543,80,1.0
544,81,1.0
545,85,1.0
546,87,0.9080459770114943
547,79,0.7721518987341772
548,86,1.0
549,79,1.0
550,88,1.0
551,77,0.961038961038961
552,88,0.7840909090909091
553,84,1.0
554,88,1.0
555,87,1.0
556,92,1.0
557,87,1.0
558,88,1.0
559,77,1.0
560,88,1.0
561,91,1.0
562,82,1.0
563,77,1.0
564,79,0.9367088607594937
565,73,1.0
566,83,1.0
567,87,1.0
568,85,1.0
569,84,0.7619047619047619
570,79,0.9367088607594937
571,79,1.0
572,88,1.0
573,82,1.0
574,89,1.0
575,84,1.0
576,80,1.0
577,89,1.0
578,90,1.0
579,89,0.797752808988764
580,76,1.0
581,84,1.0
582,92,1.0
583,89,1.0
584,86,1.0
585,85,1.0
586,84,1.0
587,87,0.9080459770114943
588,83,1.0
589,84,1.0
590,78,0.9230769230769231
591,80,1.0
592,84,1.0
593,92,1.0
594,80,1.0
595,80,0.825
596,87,0.9425287356321839
597,94,1.0
598,84,1.0
599,74,1.0
600,84,1.0
601,80,1.0
602,78,1.0
603,83,1.0
604,80,1.0
605,79,1.0
606,80,1.0
607,88,1.0
608,77,1.0
609,74,1.0
610,89,1.0
611,76,1.0
612,86,1.0
613,78,0.8461538461538461
614,87,1.0
615,73,1.0
616,84,1.0
