respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
150,1,1,1,0,2,3.384615,4.200000,3.700000,4.500000,3,4,3
151,1,1,1,0,2,3.307692,4,3.800000,4.500000,3,4,2
152,1,0,1,0,2,4.307692,4.200000,4.100000,4.750000,3,4,2
153,1,1,1,0,2,1.846154,2.200000,2.400000,2.250000,3,3,2
154,1,0,1,0,1,4.076923,3.900000,4.100000,2.500000,4,4,2
155,1,0,1,0,2,4.307692,1.800000,4.400000,4.500000,3,4,3
156,1,1,1,0,2,2.615385,4,3.900000,4.250000,3,4,3
157,1,0,1,0,1,3.153846,3.900000,1.900000,3.750000,4,4,3
158,1,1,0,0,2,3.615385,4.200000,4.200000,4,4,4,2
159,1,0,1,0,1,4,4.100000,4.300000,3.750000,4,3,2
160,1,1,1,0,1,3.384615,4.100000,4,4,4,4,2
161,2,0,1,0,2,4,2.700000,4.100000,4,4,4,3
162,1,1,1,0,2,4.461538,4,4.400000,4.250000,4,3,2
163,2,0,1,0,1,4.153846,4,4,3.500000,4,4,3
164,1,0,1,0,2,4,4.300000,4.300000,2,4,3,3
165,1,1,1,0,2,4.307692,3.800000,4,4.500000,3,4,3
166,1,0,1,0,2,3.692308,4.300000,2.600000,4.250000,4,4,3
167,1,0,1,0,1,2.692308,2.200000,4.500000,1.500000,4,4,2
168,2,0,1,0,2,3.769231,3.900000,4,4.250000,4,4,3
169,2,0,0,0,2,1.923077,4.200000,1.900000,4.750000,3,4,2
170,1,0,1,0,2,3.923077,2.100000,2.400000,2.250000,3,4,3
171,1,1,1,0,1,3.923077,4.100000,4.200000,4.250000,4,3,3
172,2,0,1,0,1,4.538462,4.500000,4.100000,1.500000,4,4,3
173,1,1,1,0,2,3.538462,4.400000,4.100000,4.750000,3,3,2
174,1,0,1,0,2,3.307692,4,2.200000,2.750000,4,4,3
175,1,0,1,0,1,4,4.300000,4.100000,4,4,4,3
176,1,0,1,0,1,3.769231,4.200000,4,4.250000,4,3,2
177,1,0,1,0,1,4.230769,4,4.100000,3.750000,4,3,3
178,2,0,1,0,1,4.230769,4,1.700000,4,4,4,2
179,1,0,1,0,1,3.461538,4.300000,4.100000,2.750000,4,4,3
180,1,0,1,0,1,4,4.100000,4.100000,4.750000,4,4,2
181,1,1,0,0,2,2.230769,4.100000,4,1.750000,4,4,3
182,1,0,1,0,1,4.076923,4,4.500000,4,4,4,3
183,1,0,1,0,2,2.769231,2.200000,2.100000,2.750000,3,4,3
184,1,0,1,0,2,4.307692,4,4.100000,2.250000,4,3,2
185,1,1,1,0,1,3.769231,4.300000,2.200000,4,4,3,3
186,1,0,1,0,2,3.769231,4.300000,4.500000,4.500000,4,4,3
187,1,0,1,0,2,4.461538,3.700000,4.200000,4,3,4,2
188,2,0,1,0,2,4.307692,4.200000,4.100000,4.500000,3,4,3
189,1,0,1,0,2,4,4.300000,4.300000,1.500000,4,3,3
190,2,1,1,0,2,3.846154,4.500000,4.100000,3.750000,3,4,3
191,1,1,1,0,1,4.307692,4,4.500000,3.750000,4,4,3
192,1,1,1,0,1,2.153846,3.800000,4.400000,4,4,4,2
193,1,1,1,0,2,3.923077,4.200000,4.100000,4.500000,3,4,3
194,1,0,1,0,1,4.076923,4.100000,4.300000,1.750000,4,4,3
195,1,1,1,0,2,2.615385,4.400000,2.400000,2.500000,4,4,3
196,2,1,1,0,1,4.153846,4.400000,3.900000,4.250000,4,4,3
197,1,0,1,0,1,4.230769,4.100000,4.300000,3.750000,4,3,2
198,1,0,1,0,2,4.307692,4.100000,3.900000,3.500000,4,4,2
199,1,0,1,0,1,4.076923,3.900000,4.100000,4.250000,4,4,3
200,1,1,1,0,2,4,3.800000,4.500000,4.250000,4,4,2
201,1,0,1,0,1,3.923077,4.300000,4.400000,4.250000,4,4,3
202,1,0,1,0,1,4.076923,4,4.400000,2,4,4,3
203,1,1,1,0,2,2.461538,1.900000,2.400000,2.500000,4,4,3
204,2,1,1,0,1,3.461538,4.200000,3.800000,4.500000,4,4,3
205,2,0,0,0,2,2,1.900000,1.900000,1.500000,4,4,2
206,1,1,1,0,2,4.076923,3.900000,4.500000,4.500000,3,4,2
207,1,1,1,0,1,3.846154,4.100000,4.100000,4.250000,4,3,3
208,1,0,1,0,1,4.307692,4,4.100000,3.750000,4,4,3
209,1,0,1,0,1,3.692308,4,3.800000,3.750000,4,4,3
210,1,0,1,0,2,4.153846,4.600000,4.100000,4,3,3,3
211,1,0,0,0,1,3.153846,3.800000,4.500000,4.750000,4,4,3
212,1,1,1,0,2,3.923077,2.500000,4.500000,4.250000,4,4,2
213,1,0,1,0,2,3.538462,3.800000,4.300000,4.250000,3,4,2
214,1,0,1,0,1,4.076923,4.100000,4.200000,4.750000,4,3,3
215,1,1,1,0,1,3.846154,2.100000,1.900000,4.500000,4,4,2
216,1,0,1,0,2,4.153846,4.100000,3.800000,4.500000,3,4,3
217,2,1,1,0,1,2.153846,1.700000,2.300000,3.500000,4,3,3
218,1,0,1,0,2,4.461538,1.800000,4,4.500000,3,4,3
219,2,0,1,0,1,4.230769,4.100000,3.900000,5,4,4,3
220,1,0,1,0,2,4.230769,4,2.200000,4,4,4,3
