row_index,included_runs,consistency_rate
342,86,0.872093023255814
343,88,1.0
344,80,0.8625
345,84,1.0
346,88,1.0
347,83,0.8674698795180723
348,83,0.3493975903614458
349,82,1.0
350,79,1.0
351,82,1.0
352,92,1.0
353,78,1.0
354,83,1.0
355,87,1.0
356,85,0.7411764705882353
357,89,1.0
358,83,1.0
359,76,1.0
360,79,1.0
361,81,1.0
362,87,1.0
363,88,1.0
364,87,1.0
365,76,1.0
366,86,1.0
367,82,1.0
368,73,1.0
369,81,0.8395061728395061
370,82,1.0
371,89,1.0
372,91,1.0
373,71,1.0
374,87,1.0
375,79,1.0
376,79,0.8227848101265823
377,83,1.0
378,80,1.0
379,79,1.0
380,92,1.0
381,77,1.0
382,85,1.0
383,78,1.0
384,91,1.0
385,103,0.8349514563106796
386,84,0.8452380952380952
387,86,1.0
388,79,1.0
389,87,1.0
390,77,1.0
391,89,1.0
392,81,1.0
393,76,1.0
394,87,1.0
395,88,1.0
396,86,0.8255813953488372
397,79,1.0
398,81,1.0
399,77,1.0
400,89,1.0
401,90,1.0
402,87,1.0
403,82,1.0
404,98,1.0
405,78,1.0
406,84,1.0
407,85,1.0
408,75,1.0
409,82,0.6951219512195121
410,88,1.0
411,86,1.0
412,87,1.0
413,83,1.0
414,89,1.0
415,86,0.8372093023255814
416,88,1.0
417,85,1.0
418,84,1.0
419,77,0.8311688311688312
420,81,1.0
421,88,0.8295454545454546
422,76,1.0
423,92,1.0
424,90,1.0
425,84,1.0
426,86,1.0
427,86,1.0
428,94,1.0
429,77,1.0
430,84,1.0
431,78,0.8846153846153846
432,79,1.0
433,83,1.0
434,89,0.550561797752809
435,81,1.0
436,86,1.0
437,82,0.8414634146341463
438,83,0.891566265060241
439,73,1.0
440,88,1.0
441,94,1.0
442,89,1.0
443,84,1.0
444,95,1.0
445,77,1.0
446,85,0.8
447,80,1.0
448,84,1.0
449,86,0.8488372093023255
450,84,1.0
451,79,1.0
452,85,1.0
453,83,1.0
454,88,1.0
455,82,1.0
456,88,0.8409090909090909
457,94,1.0
458,88,1.0
459,78,1.0
460,81,1.0
461,87,1.0
462,85,1.0
463,83,1.0
464,72,1.0
465,94,0.8617021276595744
466,83,1.0
467,86,1.0
468,78,1.0
469,87,1.0
470,94,1.0
471,81,1.0
472,85,1.0
473,83,1.0
474,87,1.0
475,83,1.0
476,83,1.0
477,90,1.0
478,86,1.0
479,82,1.0
480,83,1.0
481,82,0.8292682926829268
482,87,1.0
483,86,1.0
484,85,1.0
485,88,1.0
486,88,1.0
487,89,1.0
488,88,1.0
489,85,1.0
490,90,0.6777777777777778
491,87,1.0
492,81,1.0
493,86,1.0
494,92,1.0
495,83,0.8674698795180723
496,81,0.8888888888888888
497,82,1.0
498,88,1.0
499,82,1.0
500,91,1.0
501,79,1.0
502,82,1.0
503,78,1.0
504,93,1.0
505,80,1.0
506,77,1.0
507,77,1.0
508,89,1.0
509,77,1.0
510,81,1.0
511,79,1.0
512,89,1.0
513,84,1.0
514,84,1.0
515,86,1.0
516,81,1.0
517,75,1.0
518,88,1.0
519,86,0.8255813953488372
520,80,1.0
521,77,1.0
522,91,1.0
523,71,1.0
524,84,0.8452380952380952
525,88,0.8409090909090909
526,85,0.8117647058823529
527,85,1.0
528,90,1.0
529,81,1.0
530,84,0.8095238095238095
531,77,1.0
532,73,1.0
533,84,1.0
534,90,1.0
535,81,1.0
536,83,1.0
537,84,1.0
538,80,1.0
539,82,1.0
540,81,0.8641975308641975
541,77,1.0
542,88,1.0
543,79,1.0
544,78,0.8846153846153846
545,84,0.7738095238095238
546,88,1.0
547,85,1.0
548,89,1.0
549,79,1.0
550,95,1.0
551,92,1.0
552,81,1.0
553,77,1.0
554,85,0.8117647058823529
555,91,1.0
556,79,1.0
557,80,1.0
558,83,1.0
559,74,1.0
560,83,1.0
561,87,1.0
562,81,1.0
563,82,1.0
564,79,1.0
565,82,1.0
566,84,1.0
567,82,1.0
568,80,1.0
569,79,1.0
570,86,1.0
571,82,1.0
572,73,1.0
573,87,1.0
574,83,0.891566265060241
575,86,1.0
576,84,1.0
577,90,1.0
578,89,1.0
579,78,1.0
580,82,1.0
581,85,1.0
582,87,0.8390804597701149
583,87,1.0
584,90,1.0
585,85,1.0
586,83,1.0
587,88,1.0
588,83,1.0
589,79,1.0
590,80,1.0
591,78,1.0
592,81,1.0
593,77,1.0
594,95,1.0
595,84,1.0
596,93,1.0
597,94,0.8404255319148937
598,85,1.0
599,80,1.0
600,76,1.0
601,90,1.0
602,79,1.0
603,95,1.0
604,90,1.0
605,90,1.0
606,86,1.0
607,83,1.0
608,87,1.0
609,77,1.0
610,80,1.0
611,76,0.881578947368421
612,87,1.0
613,85,1.0
614,89,1.0
615,78,1.0
616,80,1.0
617,85,1.0
618,88,1.0
619,81,0.8518518518518519
620,83,0.8674698795180723
621,77,1.0
622,86,1.0
623,88,1.0
624,91,1.0
625,88,1.0
626,84,1.0
627,83,1.0
628,91,1.0
629,85,1.0
630,87,0.9770114942528736
631,83,1.0
632,82,1.0
633,82,1.0
634,90,1.0
635,82,1.0
636,88,1.0
637,77,1.0
638,84,1.0
639,91,0.9560439560439561
640,85,1.0
641,74,1.0
642,80,1.0
643,91,1.0
644,80,1.0
645,78,1.0
