respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,invalid_union_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
117,1,0,1,0,0,1,3.923077,4.200000,4,3.500000,3,4,3
118,1,0,1,0,0,1,3.923077,2.100000,4.300000,3.750000,4,3,3
119,1,1,1,0,0,1,4.153846,4.700000,4.300000,4,3,4,3
120,1,0,1,0,0,1,4.307692,2.100000,4.400000,3.500000,4,4,3
121,1,0,1,0,0,2,4.307692,4,4.100000,3.750000,4,4,3
122,2,0,1,0,0,2,2.692308,2.400000,1.800000,1.500000,4,4,2
123,1,0,1,0,0,1,3.230769,4.200000,4,4.250000,4,4,2
124,1,0,1,0,0,1,4.307692,4.300000,4.200000,4.250000,4,3,3
125,1,0,1,0,0,1,4.076923,4.200000,4.300000,1.750000,3,4,3
126,1,1,1,0,0,2,4,4.100000,4.200000,1.500000,4,4,2
127,1,0,1,0,0,1,3.769231,4.400000,4.200000,1.750000,4,4,3
128,2,0,1,0,0,2,4,3.900000,3.800000,3.750000,4,4,2
129,1,0,1,0,0,2,2.615385,4,2.200000,4,4,4,2
130,1,0,1,0,0,1,3.538462,4.200000,4.100000,2.500000,4,3,2
131,1,0,0,0,0,2,3.153846,3.800000,4.500000,4.750000,4,4,3
132,2,0,1,0,0,2,3.846154,4.100000,4.200000,4.250000,4,3,3
133,1,1,1,0,0,1,3,4.300000,4.100000,3.750000,4,4,3
134,1,0,1,0,0,2,4,4.500000,4.200000,2.500000,4,3,3
135,1,0,1,0,0,1,4.230769,4.300000,4,4.250000,4,4,3
136,1,1,1,0,0,2,4.153846,4.100000,4.300000,5,4,4,3
137,1,0,1,0,0,2,3.846154,4.600000,4.200000,4.500000,4,4,3
138,1,0,1,0,0,1,3.615385,4.100000,3.900000,3.500000,4,4,3
139,1,0,1,0,0,2,3.923077,4,4.200000,4.250000,4,4,3
140,1,0,1,0,0,1,4.076923,4.300000,4.200000,4,4,4,2
141,1,1,1,0,0,2,4.153846,4.600000,3.900000,4,4,4,3
142,1,0,1,0,0,2,4.307692,4,4,4.750000,4,4,3
143,1,1,1,0,0,2,3.615385,4.500000,4.100000,4,4,3,3
144,1,0,1,0,0,2,4.230769,4.400000,3.800000,4.500000,4,4,2
145,2,1,1,0,0,2,4.230769,4,4.100000,4.500000,4,4,3
146,2,1,1,0,0,2,4.230769,3.900000,4.200000,4,4,3,2
147,1,1,1,0,0,2,2.230769,1.400000,1.300000,1.750000,4,4,3
148,1,0,1,0,0,2,4.307692,4.200000,4.200000,1.750000,4,4,3
149,1,1,1,0,0,1,3.923077,4.100000,1.800000,4,3,4,3
150,1,0,1,0,0,1,4.153846,1.800000,1.900000,3.750000,3,3,3
151,1,0,1,0,0,2,3.538462,1.800000,4.500000,4.500000,4,3,3
152,1,0,1,0,0,1,2.846154,1.900000,2,2.250000,3,4,3
153,1,0,1,0,0,1,4.076923,1.400000,4.200000,3.750000,4,4,3
154,1,0,1,0,0,2,4.307692,4.200000,4.200000,4.250000,4,4,2
155,2,0,0,0,0,1,2,1.500000,1.500000,1,4,4,2
156,2,1,1,0,0,2,4.153846,4,1.800000,4.250000,4,4,2
157,1,1,0,0,0,1,2.230769,2.100000,2,1.250000,4,4,3
158,2,0,1,0,0,2,3.538462,3.900000,4.100000,4.750000,4,4,3
159,1,0,0,0,0,2,3.923077,4,4.400000,4.250000,4,3,3
160,1,0,1,0,0,2,4,4.200000,4,4.250000,4,4,3
161,2,0,1,0,0,2,4.076923,4.100000,4,4,4,3,3
162,1,0,1,0,0,2,4.230769,1.900000,4,3.250000,4,4,3
163,1,1,1,0,0,1,3.692308,4.300000,3.900000,4,3,3,2
164,2,1,1,0,0,2,4.384615,3.700000,3.900000,4.250000,4,4,3
165,1,0,1,0,0,2,4.153846,4.200000,3.900000,3.750000,4,4,2
166,1,0,1,0,0,2,3.923077,3.700000,1.600000,4.250000,4,4,3
167,2,0,1,0,0,2,2.076923,1.500000,1.500000,1.250000,4,4,3
168,1,0,1,0,0,1,4.153846,4.200000,4.500000,3.750000,4,4,3
169,1,0,0,0,0,2,3,4.200000,2,4.250000,4,3,2
170,1,0,1,0,0,2,4.153846,2.300000,4,3.750000,4,4,2
171,1,1,1,0,0,1,4.230769,2.700000,4,4.250000,4,3,3
172,1,0,1,0,0,2,3.692308,4.300000,4.400000,3.750000,4,4,3
173,2,0,1,0,0,2,3.076923,4.100000,4.100000,4.250000,4,3,3
174,1,0,1,0,0,2,4.076923,4,4,3.750000,4,4,2
175,1,0,1,0,0,2,4,4.100000,4.300000,3.750000,4,3,2
176,1,0,1,0,0,2,4.076923,4.400000,4.100000,3.500000,4,4,2
177,1,1,1,0,0,1,3.615385,4.300000,4,3.250000,4,4,2
178,1,1,1,0,0,2,1.615385,1.400000,1.300000,1.500000,4,4,3
179,1,0,1,0,0,1,4.307692,4.100000,3.900000,3.500000,4,4,2
180,1,0,1,0,0,2,4.230769,3.600000,4,4,4,4,2
181,1,0,1,0,0,2,3.769231,4,2.200000,4.750000,4,4,2
182,1,0,1,0,0,2,4.153846,4.600000,3.800000,4.500000,4,3,3
183,1,0,1,0,0,2,3.846154,4.300000,4.400000,2.750000,4,4,3
184,1,0,1,0,0,1,4,4.200000,4,4.500000,3,4,2
185,1,0,1,0,0,2,4.230769,4.100000,3.900000,2,4,4,2
186,1,1,1,0,0,2,4.307692,3.900000,4.200000,3.750000,4,4,3
187,1,0,1,0,0,2,4.153846,4.200000,4.100000,3.250000,4,3,2
188,1,0,1,0,0,2,3.769231,3.800000,4.300000,3.500000,4,4,3
189,1,0,1,0,0,2,3.538462,4.200000,4.200000,4.500000,4,4,3
190,1,0,1,0,0,2,3.769231,3.800000,4,4.500000,4,3,3
191,2,0,1,0,0,2,4.307692,4.200000,4.300000,4.250000,4,4,3
192,1,0,1,0,0,2,4.153846,4.100000,1.700000,4.250000,4,3,3
193,1,0,1,0,0,1,4.230769,4.300000,4,4.500000,4,3,3
194,1,0,1,0,0,2,3.461538,2.400000,3.900000,4,4,4,3
195,1,0,1,0,0,2,4.307692,4.100000,3.800000,4.750000,4,4,3
196,1,0,1,0,0,2,4.461538,5,4.700000,5,4,4,3
197,1,0,1,0,0,2,3,2.500000,4.400000,2,4,3,3
198,1,0,1,0,0,1,4.076923,4.300000,4,3.750000,4,3,3
199,2,0,1,0,0,2,4.230769,2.300000,4,4.250000,4,4,3
200,1,0,0,0,0,1,2.461538,1.500000,1.200000,1.250000,3,4,2
201,2,0,1,0,0,1,4.307692,4.200000,4.100000,4.500000,3,4,3
202,1,0,1,0,0,2,4.076923,4.300000,3.500000,4,4,4,3
203,2,0,0,0,0,1,3.538462,4.300000,4.300000,3.750000,4,4,3
204,1,1,1,0,0,1,4,4.400000,2,3.500000,3,4,3
205,1,0,1,0,0,1,4.153846,4.100000,4.200000,5,3,4,3
206,1,0,1,0,0,2,3.230769,4,4.200000,4.250000,4,3,3
207,2,0,1,0,0,2,4.307692,3.800000,4.200000,4.250000,4,3,3
208,1,0,1,0,0,1,4.076923,1.700000,4.300000,4.250000,4,4,3
209,2,1,1,0,0,1,2.538462,2.100000,2.500000,2.750000,4,4,2
210,2,0,1,0,0,2,4.230769,4.100000,3.900000,5,4,4,3
211,1,0,1,0,0,1,4.076923,4,4.100000,5,4,4,3
212,1,0,1,0,0,1,4.307692,4.300000,4,4.250000,4,4,3
213,1,0,0,0,0,2,2.230769,1.300000,1.500000,1.250000,4,4,3
214,1,0,1,0,0,2,4.076923,4.400000,4,2.750000,4,4,2
215,1,0,1,0,0,2,3.461538,3.800000,4.200000,3.750000,4,4,3
216,1,1,1,0,0,2,3.923077,4.300000,4.100000,2.750000,4,4,3
217,1,0,1,0,0,2,4,4.100000,4.100000,4.750000,4,4,2
218,1,0,1,0,0,2,4,4.300000,3.800000,4,4,4,3
219,2,0,1,0,0,1,3.769231,3.900000,4,4.250000,4,4,3
220,1,0,1,0,0,2,3.923077,4.300000,4.500000,4,4,4,3
221,1,1,1,0,0,2,3.076923,4.400000,4.400000,4.500000,4,4,2
222,1,0,1,0,0,1,4.076923,3.900000,4.100000,4,3,4,2
223,1,1,1,0,0,2,4,4.300000,4.200000,4.500000,4,3,3
224,1,0,1,0,0,2,4.461538,4.100000,4,4,4,4,3
