source_csv: Logit改进5_系数OR.csv
rows: 67
cols: 14
columns:
- model_id
- sample_scope
- term
- coef
- std_err
- z
- p_value
- ci_lower
- ci_upper
- odds_ratio
- or_ci_lower
- or_ci_upper
- marginal_effect
- abs_coef

[data_tsv]
model_id	sample_scope	term	coef	std_err	z	p_value	ci_lower	ci_upper	odds_ratio	or_ci_lower	or_ci_upper	marginal_effect	abs_coef
M2_Q21_recommend_direct	模型2_Q21推荐意愿_不含Q20	C(C002)[T.5]	-0.0419556213025349	0.4245027550172751	-0.0988347444313466	0.9212694814705732	-0.8739657324744238	0.7900544898693539	0.958912334908631	0.4172933895655875	2.2035164923105004	-0.0092528410759239	0.0419556213025349
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	Intercept	-2.392184828387089	0.7424887028625348	-3.221846769067921	0.0012736723191257	-3.847435944925519	-0.9369337118486596	0.0914297072798914	0.0213343688649196	0.3918274511055292		2.392184828387089
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	y_q20_high	2.186726710748795	0.1764145063477845	12.395390583345058	2.7679377241033947e-35	1.8409606319567249	2.532492789540865	8.906013393291799	6.302589823093522	12.584838421638144	0.3818269310168818	2.186726710748795
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C002)[T.4]	1.0169490043917673	0.4369862830938452	2.327187474150926	0.019955289400828	0.1604716277898062	1.8734263809937284	2.764746653046644	1.174064461864368	6.510565904869081	0.1775706655243708	1.0169490043917673
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C003)[T.2]	0.7813987085830776	0.3781523630326394	2.0663594491822144	0.0387945518746657	0.0402336963703885	1.5225637207957663	2.1845256443755217	1.0410540363162089	4.583962142657501	0.1364409504545105	0.7813987085830776
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C002)[T.5]	0.5760246952085313	0.4700451987477924	1.2254666077710608	0.2203994640360788	-0.3452469654431136	1.4972963558601762	1.7789524773624286	0.708045469110469	4.469588543077268	0.1005803516645636	0.5760246952085313
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C002)[T.3]	0.5541187504665495	0.4073092216672506	1.3604375275334035	0.1736915096789832	-0.2441926545723031	1.352430155505402	1.7404065762916263	0.7833367063267241	3.86681107413312	0.0967553288070013	0.5541187504665495
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C002)[T.2]	0.5111630581706706	0.4146278984578873	1.2328235993569745	0.217641584628655	-0.301492689792319	1.3238188061336604	1.667229152236788	0.7397132337922382	3.757744108237645	0.0892547846930891	0.5111630581706706
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C003)[T.4]	0.4639904991222208	0.3155016623791485	1.4706435954198824	0.1413875275365377	-0.1543813962034259	1.0823623944478675	1.5904078600975606	0.8569451230601218	2.951644269154261	0.0810179285001567	0.4639904991222208
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C004)[T.5]	-0.3865746121521711	0.536880483840011	-0.7200384886170855	0.4715012983482888	-1.4388410244810312	0.6656918001766889	0.6793800334771044	0.2372025113392456	1.9458361856347928	-0.0675002491356411	0.3865746121521711
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C004)[T.3]	-0.3262508382827586	0.5577714121694481	-0.5849185368138682	0.5586024938072836	-1.419462717740923	0.7669610411754059	0.7216241537640505	0.2418439204443962	2.153212775987102	-0.0569670438060978	0.3262508382827586
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C003)[T.3]	0.3201169161623531	0.3277575933190638	0.9766880239773038	0.3287236259149658	-0.3222761624025377	0.962509994727244	1.3772887822418476	0.7244980835688003	2.6182600516279964	0.0558959924274238	0.3201169161623531
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C005)[T.2]	-0.2889948141295883	0.3040115595290429	-0.9506046894311596	0.3418050872178013	-0.8848465216903671	0.3068568934311904	0.7490160896929751	0.412777520813838	1.3591464513688385	-0.0504617254714511	0.2889948141295883
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C(C004)[T.2]	-0.2828548696480896	0.5056738238637098	-0.5593622930427287	0.575914489890288	-1.2739573523456118	0.7082476130494326	0.7536291543877102	0.2797224682044658	2.0304300401352875	-0.0493896225212009	0.2828548696480896
M3_Q21_recommend_with_q20	模型3_Q21推荐意愿_含Q20链路	C088	0.2575822099410754	0.0749568625176917	3.436405971238184	0.0005894869336994	0.1106694590122793	0.4044949608698714	1.2937981696796776	1.1170256230733475	1.4985454848035915	0.0449767335913086	0.2575822099410754
